Stage	TDP	TDP	TDP	DX	DX	DX
Library	Lib32	Lib33	Lib34	Lib35	Lib36	Lib37
mir167	6.38766316791148	6.047654194449856	6.081683339962591	1.2917349975036783	0.9942916905975495	1.595971631276316
mir7122	4.526790317007629	4.448840349845956	4.810377708599356	0.5593674233961552	1.1694837433156968	1.2386856988887194
mir390	6.027938261733994	5.731446301264036	6.062091432295803	2.5595952707893463	2.7636643501845386	2.948092870675148
mir171	4.584284055784405	4.297605411381315	3.631291923604292	2.9577729001895467	3.7212622466677483	3.0676865791737358
mir535	2.8277804227737033	2.739266461353636	2.659496753213962	0.07518143156628858	0.3835179072689588	0.19372011014627902
mir827	2.9987516909425076	2.2808573528833906	2.83902188054601	0.28362500580895045	0.13997746170063857	0.2396137736575396
mir156	2.515945676333072	2.0998720120323737	2.406843132872908	2.8898243542050897	2.449635886018288	2.232404416983114
mir482	4.276745588626633	3.643826661011238	4.284390346579844	2.541314052741249	1.996126959010669	2.22934244006875
mir169	0.24041348334526508	0.13573588687891786	0.5656456918389734	2.68432681025774	3.3397318014122885	2.489756301229317
mir858	2.6614455517575104	3.1142325142498533	2.5166988639175436	0.5682534398901172	0.9305356518320052	0.8858494411386155
mir398	2.8542176101932895	4.224369466419971	2.9276452183467137	0.13150491677541426	1.6338318324362389	1.2711859911602017
mir159	3.322970943740162	3.631805642953049	4.193940666748969	4.679819371650593	5.212766283471744	5.119548406625465
mir399	0.4222773025628378	0.0	0.30687036854052147	3.009145787310987	3.441481986284555	1.9759112162414116
mir168	5.568669209249822	5.585935430631809	5.559136713707686	4.085931510579475	4.500145307443312	4.100447734332738
mir396	3.973697065605999	2.9480417237277132	3.358296712550366	4.927583656532737	5.266058410590373	5.413829220708469
mir162	1.0273720135792903	0.8719157689399225	0.9576928248699439	0.07518143156628858	0.09546039514819518	0.09508564677632315
mir393	0.7093869082440136	2.3264942356673153	1.957933814944766	0.4852849273675851	0.5885208366184804	0.451086688981996
mir-92	1.6458341501510048	1.2325345732079214	0.6125299902372029	0.2104547417953621	0.28809511036346747	0.2283363022010594
mir408	2.6422803564550654	2.7230312380535566	2.2483467306796676	0.0	1.2249412174022243	0.9649092741923692
mir8175	1.6835495354239727	2.9159468941867606	1.3264598078084306	0.28362500580895045	0.5114864025613328	1.569629155979514
mir-1260	2.0831734108481594	1.846484174832377	1.2922356823341443	0.7607890392696447	0.7585632034303618	0.8499546885753029
mir479	1.1720344131039897	2.0314512583993203	2.5874716169493497	0.07518143156628858	0.08016981443315774	0.0
mir165/166	10.282128934381928	10.074792142568679	10.274477781089804	6.328473653740192	6.408665897380199	6.1255242075899785
