targetName	mir-10602	mir-10870	mir-11980	mir-12058	mir-1357	mir-183	mir-284	mir-5702	mir-6953	mir-92	mir-921	mir-9344	mir-s1	mir1511	mir156	mir159	mir160	mir162	mir164	mir165	mir166	mir167	mir168	mir169	mir170	mir171	mir172	mir2111	mir319	mir3267	mir3627	mir3630	mir384	mir390	mir393	mir395	mir396	mir397	mir398	mir399	mir403	mir408	mir472	mir477	mir479	mir482	mir5054	mir5072	mir5083	mir5139	mir5225	mir535	mir5653	mir6478	mir7122	mir7528	mir7757	mir8019	mir8175	mir827	mir858	mir9560	novel	tasi
mir-10602	2.0																																																															
mir-10870		1.0																																																														
mir-11980			2.0																																																													
mir-12058				2.0																																																												
mir-1357					30.0																																																											
mir-183						1.0																																																										
mir-284							1.0																																																									
mir-6953									1.0																																																							
mir-921											7.0																																																					
mir-s1													1.0																																																			
mir1511														30.0																																																		
mir156															18.0	1.0																																																
mir159															134.0	382.0																																																
mir160																	2.0																																															
mir162																		15.0																																														
mir164																			3.0																																													
mir165																				312.0	5.0																																											
mir166																				430.0	213.0																																											
mir167																						169.0																																										
mir168																							68.0																																									
mir169																								33.0																																							2.0	
mir170																									1.0																																							
mir171																									10.0	38.0																																						
mir172																											163.0																																					
mir2111																												1.0																																				
mir319															4.0	35.0													8.0																																			
mir3627																														2.0	4.0																																	
mir3630																																5.0																																
mir384																																	1.0																															
mir390																																		27.0																														
mir393																																			11.0																													
mir395																																				53.0																												
mir396																																					132.0																											
mir397																																						24.0																										
mir398																																							33.0																									
mir399																																								38.0																								
mir403																																									20.0																							
mir408																																										15.0																						
mir4414																													1.0																																			
mir472																																											7.0																					
mir477																																												6.0																				
mir479																										5.0																			12.0																			
mir482																																											61.0			111.0																		
mir5072																																																77.0															3.0	
mir5083																																																	4.0															
mir5139														46.0																																				8.0														
mir5225																														1.0	3.0																																1.0	
mir535																																																				106.0												
mir6478																																																						1.0										
mir7122																																																							16.0									
mir7528																																																								1.0								
mir7757																																																									1.0							
mir8019																																																										1.0						
mir8175																																																											36.0					
mir827																																																												3.0				
mir858																																																													107.0			
novel					2.0				1.0	1.0	15.0	60.0												13.0						1.0	2.0					1.0										3.0	3.0	15.0			1.0	6.0	94.0							1.0		1.0	7528.0	233.0
tasi								1.0				1.0																																																			10.0	192.0
